State_Name,State_District_Name,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Total,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Rural,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Urban,MM_Women_Who_Received_Any_Anc_Before_Abortion_Total,MM_Women_Who_Received_Any_Anc_Before_Abortion_Rural,MM_Women_Who_Received_Any_Anc_Before_Abortion_Urban,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Total,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Rural,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Urban,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Total,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Rural,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Urban,MM_Abortion_Performed_By_Skilled_Health_Personnel_Total,MM_Abortion_Performed_By_Skilled_Health_Personnel_Rural,MM_Abortion_Performed_By_Skilled_Health_Personnel_Urban,MM_Abortion_Taking_Place_In_Institution_Total,MM_Abortion_Taking_Place_In_Institution_Rural,MM_Abortion_Taking_Place_In_Institution_Urban
Odisha,Debagarh,14.27,13.9,18.52,59.56,58.64,67.5,12.39,10.36,30,2.74,2.74,2.7,47.73,49.2,35,44.27,45.06,37.5
Odisha,Dhenkanal,11.73,11.38,15.83,64.89,63.92,73.17,24.7,24.45,26.83,2.91,2.96,2.46,48.83,46.26,70.73,48.95,46.39,70.73
Odisha,Gajapati,1.63,1.32,4.32,60.59,51.21,85.71,26.78,15.45,57.14,4.41,4.57,4,79.47,87.8,57.14,72.96,78.86,57.14
Odisha,Ganjam,4.77,4.6,5.82,62.01,59.35,75,20.08,20.35,18.75,3.23,3.2,3.38,49.05,51.42,37.5,40.31,42.17,31.25
Odisha,Jagatsinghapur,1.69,1.61,2.53,54.19,51.07,75,30.57,27.66,50,3.62,3.6,3.75,79.65,76.6,100,79.65,76.6,100
Odisha,Jajapur,13.44,13.43,NA,52.79,52.23,NA,12.12,12.23,NA,2.57,2.57,NA,48.12,47.17,NA,46.72,45.72,NA
Odisha,Jharsuguda,8.74,7.23,11.03,70.89,66.91,74.86,29.6,23.39,35.79,2.71,2.8,2.62,44.98,39.96,50,39.99,35.15,44.81
Odisha,Kalahandi,0.62,0.47,2.1,77.84,82.74,66.67,40.75,58.63,0,3.81,4.32,2.67,67.08,67.26,66.67,67.08,67.26,66.67
Odisha,Kandhamal,1.34,1.32,1.6,70.27,72.09,50,34.29,32.88,50,3.59,3.56,4,92.14,91.44,100,80.17,82.88,50
Odisha,Kendrapara,12.76,12.77,12.5,50.2,50.31,48,19.19,18.73,28,2.73,2.74,2.52,57.54,56.36,80,52.51,51.27,76
Odisha,Kendujhar,8.34,7.87,10.71,61.92,62.49,59.77,19.08,18.35,21.84,2.94,3,2.72,35.44,35.08,36.78,33.61,33.07,35.63
Odisha,Khordha,3.02,3.26,2.62,69.52,69.78,68.97,20.52,21.26,18.97,2.88,2.84,2.97,66.57,71.97,55.17,58.56,61.79,51.72
Odisha,Koraput,0.86,0.55,2.36,49.17,26.57,75,23.34,0,50,3.61,3.27,4,41.11,33.33,50,35.28,33.33,37.5
Odisha,Malkangiri,0.76,0.73,1.23,29.59,32.54,0,10.22,11.24,0,3.94,3.93,4,67.84,69.63,50,47.4,47.14,50
Odisha,Mayurbhanj,5.58,5.5,7.03,54.24,55.36,38.46,9.98,10.15,7.69,3.09,3.12,2.62,39.03,37.43,61.54,38.62,37.54,53.85
Odisha,Nabarangapur,0.36,0.38,NA,50,50,NA,19.28,19.28,NA,3.77,3.77,NA,11.43,11.43,NA,11.43,11.43,NA
Odisha,Nayagarh,4.7,4.71,NA,62.21,61.11,NA,25.63,25.64,NA,3.37,3.34,NA,71.63,71.54,NA,68.01,67.81,NA
Odisha,Nuapada,1.07,1,NA,87.17,85.78,NA,21.13,18.01,NA,4.84,4.71,NA,67.92,64.46,NA,61.51,57.35,NA
Odisha,Puri,6.43,5.73,10.64,59.71,58.85,62.5,18.49,19.57,15,3.03,3.14,2.7,76.83,78.17,72.5,65.54,64.94,67.5
Odisha,Rayagada,1.3,1.05,2.88,62.35,67.71,50,32.77,39.76,16.67,4.54,4.91,3.67,76.64,88.2,50,73.62,83.85,50
Odisha,Sambalpur,10.67,10.71,10.59,62.38,56.4,72.9,26.83,21.36,36.45,2.79,2.87,2.66,36.13,27.98,50.47,32.46,25.42,44.86
Odisha,Sonapur,2.1,2.07,2.5,64.87,62.11,100,22.25,20.07,50,3.25,3.31,2.5,47.03,46.8,50,45.99,45.68,50
Odisha,Sundargarh,5.07,4.36,6.83,55.71,50.93,63.33,17.41,11.6,26.67,2.72,2.66,2.82,40.77,37.06,46.67,29.25,27.74,31.67
Rajasthan,Ajmer,2.1,1.4,3.7,54.2,49.5,57.7,29.6,17.8,38.5,2.7,3.1,2.5,61.9,62.4,61.5,58.9,55.4,61.5
Rajasthan,Alwar,1.8,1.7,2.6,43.1,41.9,50,40.9,35.2,75,3.2,3.1,3.8,88.8,86.9,100,73.1,68.5,100
Rajasthan,Banswara,1.6,1.5,NA,51.3,50,NA,32.2,26.6,NA,3.5,3.5,NA,43.8,41.9,NA,29.8,32.2,NA
Rajasthan,Baran,7.8,7.7,8.5,60.7,60.9,59.4,45,44.6,46.9,2.8,2.9,2.3,62.7,64.4,53.1,55.8,57.4,46.8
Rajasthan,Barmer,2.5,2.3,4.8,41.7,36.4,76.9,34.8,31.9,53.8,3,3,2.5,40.3,38.3,53.8,37,36.7,38.4
Rajasthan,Bharatpur,2.5,2.1,4.5,38.8,37,42.9,25.5,28.4,19,3.4,3.3,3.6,87.3,85.8,90.5,83.1,81.9,85.7
Rajasthan,Bhilwara,3.3,2.7,6.4,57.4,57.9,56.3,36.5,36,37.5,3.1,3.1,2.9,76,73.5,81.2,69.8,67.3,75
Rajasthan,Bikaner,0.8,0.7,1.1,74.2,69.1,80,42.8,10.3,80,2.9,2.9,2.8,81.5,65.4,100,81.5,65.4,100
Rajasthan,Bundi,9.8,8.5,14.9,53.8,46.7,69.2,38.5,30.4,56.4,2.8,2.8,2.8,70.5,67.6,76.9,65.5,61.5,74.3
Rajasthan,Chittaurgarh,5.2,4.5,9.4,38.6,36.1,44.4,29.6,28,33.3,3,3.1,2.6,39.4,37.2,44.4,36.8,35,40.8
Rajasthan,Churu,0.9,0.7,1.7,24.5,44.4,0,16.4,29.7,0,2.6,2.7,2.4,76.7,74.1,80,67.8,74.1,60
Rajasthan,Dausa,1.3,1,4.7,44.2,46.9,37.5,34.7,43.9,12.5,3.3,3.3,3.1,73.4,67.6,87.5,67.8,59.7,87.5
Rajasthan,Dhaulpur,5.8,5.1,8.7,46.8,41.5,59,36.9,34,43.6,3.2,3.3,3,58.7,49.7,79.5,54,45.1,74.4
Rajasthan,Dungarpur,3,2.6,8.6,47.6,44.1,64.7,37,36.1,41.2,3.3,3.4,2.7,46.4,41.3,70.4,43.7,39.3,64.6
Rajasthan,Ganganagar,1.3,1.2,1.6,55.9,50,66.7,35.6,24.7,55.6,2.5,2.5,2.4,83.1,86,77.8,76.2,75.3,77.8
Rajasthan,Hanumangarh,1.5,1.3,2.3,62.8,79.1,33.3,44.7,41.7,50,2.9,3,2.7,58.7,54.2,66.7,55.9,50,66.7
Rajasthan,Jaipur,2.4,2.5,2.2,34.8,25.9,44,27.1,18.6,36,2.9,3,2.8,65.1,77.7,52,63.9,75.2,52
Rajasthan,Jaisalmer,0.6,0.4,1.9,75,75,75,63.5,75,50,3,3,3,100,100,100,73,50,100
Rajasthan,Jalor,4.4,3.9,10.2,48.7,46.4,60.9,37.8,35.9,47.8,3.2,3.2,3.1,52,49.4,65.1,44.7,43.3,52.1
Rajasthan,Jhalawar,5.5,4.6,11.1,55.6,50.1,69.2,31.7,25.9,46.2,2.9,2.9,2.7,53.2,47.8,66.7,51.9,45.9,66.7
Rajasthan,Jhunjhunun,0.8,0.9,0.2,48.3,51,0,31.6,33.5,0,3.7,3.8,2,68.2,72.1,0,65.3,69.1,0
Rajasthan,Jodhpur,0.9,0.4,2,74.4,37.5,88.9,54.9,25,66.7,3.5,3.1,3.7,92.9,75,100,92.9,75,100
Rajasthan,Karauli,5.5,5.3,6.4,41,41.8,37.5,36.2,35.9,37.5,3,3,2.8,54.4,55.4,50.1,52,52.4,49.9
Rajasthan,Kota,8.4,8.9,8,61.5,54.4,68.6,49,36.5,61.6,2.7,2.8,2.7,76.7,77.9,75.6,75.8,77.2,74.4
Rajasthan,Nagaur,0.5,0.5,0.4,79.4,91.9,0,34.6,40,0,2.9,2.9,3,76.2,88.1,0,76.2,88.1,0
Rajasthan,Pali,5.1,4.5,7.3,57.5,47.3,81.6,43.3,32.6,68.4,3.1,3.3,2.7,56,48.5,73.7,52.8,46.1,68.5
Rajasthan,Rajsamand,4.3,4,6.7,47.6,45.1,60,35.6,30.6,60,3.4,3.5,3.1,58.4,59.5,53.3,54.4,54.7,53.3
Rajasthan,Sawai Madhopur,6.4,6.1,7.5,45.8,47.1,41.7,28.8,28.7,29.2,2.8,2.9,2.8,47.2,46.3,50,44.4,41.2,54.2
Rajasthan,Sikar,1,0.9,1.3,53.2,50,60,48.1,52,40,3.5,3.4,3.6,89.8,84.9,100,78,67.5,100
Rajasthan,Sirohi,6.4,6.2,9,58.8,54.4,81.8,48.1,46,59.1,3.1,3.2,2.7,58.9,55.4,77.2,55.8,53.4,68.1
Rajasthan,Tonk,7.1,7.3,6.5,52.5,50.6,59.5,46.3,46.3,45.9,3,3.2,2.5,71.1,68.4,81.1,69,67.2,75.6
Rajasthan,Udaipur,2.6,2.2,4.9,31.9,34.3,26.7,17.5,16.4,20,3,3.3,2.3,54.8,46.2,73.3,51.8,41.8,73.3
Uttar Pradesh,Agra,10.16,10.36,9.95,45.24,41.86,49.06,29,25.46,33.02,2.59,2.71,2.47,57.06,55.24,59.12,53.62,49.32,58.49
Uttar Pradesh,Aligarh,11.08,11.79,9.12,29.82,26.31,42.31,28.01,25.08,38.46,2.6,2.57,2.73,47.22,46.08,51.28,45.5,44.6,48.72
Uttar Pradesh,Allahabad,5.25,5.16,5.82,37.39,33.89,57.14,15.9,14.92,21.43,3.06,3.16,2.54,38.41,34.45,60.71,36.6,31.06,67.86
Uttar Pradesh,Ambedkar Nagar,5.3,5.21,NA,31.06,28.87,NA,20.26,19.25,NA,2.81,2.84,NA,31.41,27.77,NA,25.12,21.61,NA
Uttar Pradesh,Auraiya,6.28,6.27,6.33,25.55,24.64,30.65,22,19.86,33.87,2.85,2.9,2.53,64.16,60.32,85.48,62.38,59.09,80.65
Uttar Pradesh,Azamgarh,7.35,7.07,10.81,42.74,41.28,54.55,21.01,19.95,29.55,2.69,2.75,2.27,42.28,41.6,47.73,36.8,37.41,31.82
Uttar Pradesh,Baghpat,5.91,5.74,6.56,49.24,54.08,33.33,34.94,38.42,23.53,2.71,2.82,2.33,61.28,63.82,52.94,51.51,53.46,45.1
Uttar Pradesh,Bahraich,3.79,3.57,8.88,53.74,53.68,54.29,35.5,34.42,45.71,3.31,3.37,2.74,46.79,43.91,74.29,44.02,40.25,80
Uttar Pradesh,Ballia,5.65,5.12,11.18,39.25,32.65,71.05,23.24,19.87,39.47,2.46,2.56,1.97,38.74,38.04,42.11,30.18,27.15,44.74
Uttar Pradesh,Balrampur,6.58,6.59,NA,21.26,19.83,NA,11.78,10.57,NA,3.12,3.14,NA,24.41,24.66,NA,15.02,14.97,NA
Uttar Pradesh,Banda,7.12,7.02,7.74,32.58,27.21,60.87,26.26,19.69,60.87,3.09,3.09,3.09,39.12,36.64,52.17,39.97,37.65,52.17
Uttar Pradesh,Barabanki,3.19,2.91,7.21,44.11,37.53,81.25,38.42,28.63,93.75,3.56,3.57,3.5,71.11,68.21,87.5,60.6,55.85,87.5
Uttar Pradesh,Bareilly,11.36,11.61,10.7,24.57,20.84,34.78,21.3,16.83,33.54,2.89,2.92,2.81,49.74,47.26,56.52,47.64,45.3,54.04
Uttar Pradesh,Basti,6.68,6.19,NA,28.91,27.74,NA,22.1,21.71,NA,2.71,2.75,NA,41.61,38.77,NA,37.37,36.51,NA
Uttar Pradesh,Bijnor,8.89,8.88,8.94,43.46,44.22,40.68,30.74,30.34,32.2,2.77,2.72,2.93,40.51,36.73,54.24,34.59,31.51,45.76
Uttar Pradesh,Budaun,8.59,8.84,7.36,22.09,23.49,13.64,15.78,16.13,13.64,2.84,2.84,2.82,37.82,37.31,40.91,34.33,33.99,36.36
Uttar Pradesh,Bulandshahar,6.97,6.85,7.25,43.72,41.34,48.65,32.83,30.41,37.84,2.9,2.93,2.82,49.93,46.63,56.76,44.75,42.2,50
Uttar Pradesh,Chandauli,6.57,6.48,7.52,41.03,41.02,41.18,25.32,25.83,20.59,2.92,2.91,3,47.04,47.04,47.06,45.98,45.55,50
Uttar Pradesh,Chitrakoot,6.41,6.27,8.31,22.42,20.9,38.46,15.54,13.74,34.62,3.14,3.17,2.88,32.33,32.12,34.62,24.27,23.66,30.77
Uttar Pradesh,Deoria,8.94,8.62,11.85,45.33,41.05,73.53,17.96,15.33,35.29,2.61,2.63,2.47,47.58,45.88,58.82,47.2,45.88,55.88
Uttar Pradesh,Etah,6.92,6.87,7.33,24.65,24.75,24,19.25,18.57,24,2.65,2.66,2.6,48.67,50.48,36,43.64,44.16,40
Uttar Pradesh,Etawah,4.13,3.4,7.22,47.23,46.31,49.09,41.05,35.25,52.73,2.88,2.81,3.02,73.14,67.03,85.45,70.81,63.55,85.45
Uttar Pradesh,Faizabad,6.22,5.67,11.3,47.44,47.22,48.48,19.72,18.76,24.24,2.66,2.68,2.58,31.72,31.37,33.33,29.01,28.73,30.3
Uttar Pradesh,Farrukhabad,5.68,5.25,7.4,31.51,24.46,51.61,29.78,19.86,58.06,3.19,3.1,3.45,80.65,78.39,87.1,77.08,74.69,83.87
Uttar Pradesh,Fatehpur,6.49,6.55,5.94,28.3,24.68,66.67,14.61,11.28,50,3.26,3.33,2.56,45.88,41.3,94.44,43.63,39.36,88.89
Uttar Pradesh,Firozabad,9.96,9.89,10.23,32.68,30.96,39.24,18.94,16.28,29.11,2.64,2.64,2.67,45.52,43.52,53.16,43.19,41.9,48.1
Uttar Pradesh,Gautam Buddha Nagar,9.58,10.15,8.06,47.87,47.53,49.02,42.09,41.78,43.14,2.74,2.83,2.46,49.52,47.92,54.9,46.36,44.12,53.92
Uttar Pradesh,Ghaziabad,8.58,7.4,9.45,38.47,34.28,40.91,39.48,34,42.66,2.62,2.61,2.62,53.01,53.39,52.8,51.84,52.6,51.4
Uttar Pradesh,Ghazipur,6.09,5.92,8.62,41.84,38.49,75,19.48,19.43,20,2.65,2.68,2.35,51.02,51.12,50,48.37,48.21,50
Uttar Pradesh,Gonda,3.97,3.93,4.95,49,50.18,27.27,22.81,22.08,36.36,3.09,3.12,2.55,73.59,72.16,100,68.86,67.17,100
Uttar Pradesh,Gorakhpur,8.41,7.7,10.6,38.35,35.3,45.21,19.12,16.05,26.03,2.53,2.64,2.27,35.67,31.43,45.21,34.05,30.92,41.1
Uttar Pradesh,Hamirpur,5.96,6.07,5.4,35.87,34.46,44,16.27,13.54,32,2.76,2.79,2.56,51.14,48.91,64,48.64,45.98,64
Uttar Pradesh,Hardoi,3.55,3.02,7.11,49.5,36.47,86.21,18.77,14.41,31.03,3.16,3.14,3.21,81.27,75.85,96.55,78.78,72.46,96.55
Uttar Pradesh,Hathras,8.99,7.56,14.45,40.47,41.62,38.2,28.86,29.24,28.09,2.59,2.68,2.4,60.8,57.48,67.42,54.39,51.23,60.67
Uttar Pradesh,Jalaun,3.27,3.53,2.33,55.26,50.95,78.57,26.25,24.49,35.71,3.12,3.12,3.14,61.63,55.85,92.86,61.17,55.31,92.86
Uttar Pradesh,Jaunpur,8.88,8.66,NA,38.27,36.53,NA,19.31,18.76,NA,2.59,2.67,NA,30.47,28.95,NA,28.55,26.8,NA
Uttar Pradesh,Jhansi,2.25,1.77,2.87,63.82,50.65,74.42,29.79,23.46,34.88,3.06,3.47,2.72,72.13,57.73,83.72,69.05,56.61,79.07
Uttar Pradesh,Jyotiba Phule Nagar,8.16,8.71,6.03,43.97,43.75,45.16,35.42,33.66,45.16,2.75,2.72,2.9,46.07,47.41,38.71,41.45,41.95,38.71
Uttar Pradesh,Kannauj,8.43,8.41,8.54,26.29,25.07,31.54,19.64,15.43,37.69,2.89,2.94,2.65,47.89,45.42,58.46,42.23,40.96,47.69
Uttar Pradesh,Kanpur Dehat,6.14,5.96,NA,36.77,36.88,NA,17.56,16.36,NA,2.99,2.99,NA,69.14,67.33,NA,67.11,67.41,NA
Uttar Pradesh,Kanpur Nagar,8.63,7.62,9.04,50.97,41.9,54.09,32.86,24.64,35.68,2.75,3.18,2.6,77.91,73.16,79.55,71.73,56.94,76.82
Uttar Pradesh,Kaushambi,6.21,5.73,12.41,21.61,20.43,28.57,12.54,13.22,8.57,2.96,3.01,2.66,44.84,44.21,48.57,36.63,34.6,48.57
Uttar Pradesh,Kheri,3.7,3.59,6.01,55.72,54.35,72.73,20.07,16.58,63.64,3.55,3.55,3.64,84.61,84.83,81.82,70.5,70.32,72.73
Uttar Pradesh,Kushinagar,8.97,8.93,NA,40.9,40.98,NA,16.9,17.29,NA,2.72,2.72,NA,50.3,50.02,NA,47.94,47.89,NA
Uttar Pradesh,Lalitpur,1.97,1.75,4.05,45.15,45.32,44.44,21.29,18.35,33.33,3.59,3.6,3.56,59.21,54.68,77.78,40.17,33.71,66.67
Uttar Pradesh,Lucknow,6.41,5.82,7.02,71.61,63.45,78.61,44.8,29.09,58.29,2.77,3.06,2.53,86.3,83.41,88.77,85.24,80.51,89.3
Uttar Pradesh,Maharajganj,7.11,6.68,NA,40.07,36.91,NA,21.15,19.72,NA,2.86,2.91,NA,39.78,39.84,NA,35.87,35.9,NA
Uttar Pradesh,Mahoba,5.93,5.47,6.94,46.85,45.37,49.38,20.9,23.74,16.05,3.14,3.37,2.74,56.05,52.73,61.73,51.3,50.98,51.85
Uttar Pradesh,Mainpuri,7.91,7.41,10.36,31.16,28.55,40.35,23.49,19.19,38.6,2.75,2.81,2.54,43.98,38.02,64.91,42.56,37.2,61.4
Uttar Pradesh,Mathura,10.55,10.21,11.27,42.76,41.27,45.63,29.54,26.73,34.95,2.5,2.59,2.34,57.21,56.66,58.25,53.79,52.99,55.34
Uttar Pradesh,Mau,5.35,5.2,5.87,41.17,40.54,43.18,22.09,20.45,27.27,2.73,2.89,2.2,41.45,40.9,43.18,35.81,35.63,36.36
Uttar Pradesh,Meerut,8.7,8.49,9.02,43.6,40.5,48.03,29.68,25.57,35.53,2.76,2.81,2.69,58.31,60.44,55.26,49.41,51.3,46.71
Uttar Pradesh,Mirzapur,6.53,5.94,11.56,30.04,26.95,43.48,25.54,17.42,60.87,2.78,2.92,2.13,35.68,33.89,43.48,27.05,24.27,39.13
Uttar Pradesh,Moradabad,7.86,7.75,8.12,45.48,42.2,53.41,22.7,22.21,23.86,2.76,2.81,2.65,43.09,40.23,50,41.2,39.91,44.32
Uttar Pradesh,Muzaffarnagar,8.65,8.07,10.44,44.4,40.6,53.41,31.03,30.69,31.82,2.85,2.82,2.93,45.98,40.92,57.95,41.34,36.72,52.27
Uttar Pradesh,Pilibhit,8.03,7.63,10.51,31.69,27.92,48.72,23.21,20.97,33.33,3.14,3.19,2.87,51.58,49.95,58.97,48.22,45.85,58.97
Uttar Pradesh,Pratapgarh,5.65,5.56,7.48,39.68,40.63,25,22.89,22.76,25,2.71,2.72,2.5,48.7,49.02,43.75,39.88,40.04,37.5
Uttar Pradesh,Rae Bareli,5.82,5.41,11.74,43.85,44.43,40,17.99,16.49,28,3.39,3.5,2.64,73.69,69.77,100,68.36,63.64,100
Uttar Pradesh,Rampur,8.29,8.56,7.27,40.23,38.24,49.15,26.86,22.64,45.76,2.77,2.84,2.44,53.58,54.18,50.85,50.91,51.31,49.15
Uttar Pradesh,Saharanpur,13.73,13.82,13.34,42.4,45.26,30.11,33.27,33.25,33.33,2.62,2.67,2.38,57.32,55.4,65.59,54.29,52.16,63.44
Uttar Pradesh,Sant Kabir Nagar,6.22,6.13,NA,30.17,30.8,NA,19.58,19.56,NA,2.58,2.62,NA,41.6,42.53,NA,31.57,32.71,NA
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),7.12,6.43,12.92,31.31,33.11,23.81,21.34,21.32,21.43,2.43,2.54,1.98,52.9,51.89,57.14,35.67,33.38,45.24
Uttar Pradesh,Shahjahanpur,9.98,9.41,13.71,27.69,26.53,32.93,17.76,16.28,24.39,2.93,2.95,2.82,35.84,34.59,41.46,35.56,34.79,39.02
Uttar Pradesh,Shrawasti,5.91,5.76,NA,22.65,21.61,NA,12.23,12.52,NA,3,3.01,NA,23.47,23.09,NA,19.38,18.8,NA
Uttar Pradesh,Siddharthnagar,7.05,7.11,NA,31.58,31.56,NA,16.96,16.97,NA,2.9,2.91,NA,27.84,27.52,NA,23.96,23.82,NA
Uttar Pradesh,Sitapur,4.73,3.8,13.31,53.74,45.47,75.56,56.16,64.81,33.33,3.56,3.48,3.76,79.57,77.72,84.44,75.86,75.13,77.78
Uttar Pradesh,Sonbhadra,7.53,7.21,11.36,32.04,25.6,80,13.42,7.85,55,3.1,3.24,2.1,32.37,27.32,70,35.11,31.78,60
Uttar Pradesh,Sultanpur,4.03,3.42,NA,48.64,36.72,NA,41.02,32.98,NA,3.09,3.15,NA,84.82,81.98,NA,81.95,79.35,NA
Uttar Pradesh,Unnao,5.41,4.62,9.69,34.5,28.14,50.94,21.84,14.96,39.62,2.98,3.24,2.3,56.21,58.25,50.94,52.33,53.6,49.06
Uttar Pradesh,Varanasi,7.65,7.56,7.77,47.36,42.15,54.47,27.41,19.5,38.21,2.44,2.57,2.25,54.35,49.49,60.98,46.67,37.98,58.54
Uttarakhand,Almora,1.36,1.28,2.83,50,48.53,62.5,36.84,38.24,25,3.26,3.31,2.88,38.16,35.29,62.5,39.47,36.76,62.5
Uttarakhand,Bageshwar,2.7,2.74,1.72,37.86,36.44,100,30.07,28.47,100,3.61,3.62,3,39.03,38.78,50,36.87,36.57,50
Uttarakhand,Chamoli,1.71,1.59,2.58,42.66,41.03,50,31.47,28.21,46.15,3.83,3.96,3.23,30.77,28.21,42.31,30.07,27.35,42.31
Uttarakhand,Champawat,4.04,3.28,8.49,64.41,60.98,72.22,44.07,39.02,55.56,3.63,3.78,3.28,45.76,46.34,44.44,42.37,41.46,44.44
Uttarakhand,Dehradun,9.79,8.45,11.01,54.57,46.06,60.51,38.07,34.21,40.77,2.27,2.3,2.24,59.99,53.55,64.49,54.78,49.41,58.52
Uttarakhand,Haridwar,12.63,11.54,15.16,47.14,37.83,63.48,38.58,33.68,47.19,2.28,2.4,2.07,59.08,55.29,65.73,56.79,54.26,61.24
Uttarakhand,Nainital,3.66,3.03,4.68,78.11,78.16,78.05,63.31,62.07,64.63,2.99,2.97,3.01,62.72,64.37,60.98,57.4,63.22,51.22
Uttarakhand,Pauri Garhwal,5.03,4.4,9.03,40.25,35.98,53.66,26.69,25.48,30.49,2.48,2.53,2.32,48.41,47.9,50,43.96,42.82,47.56
Uttarakhand,Pithoragarh,3.46,3.75,1.66,42.77,41.94,54.55,23.49,21.94,45.45,3.36,3.39,3,32.53,30.97,54.55,28.31,26.45,54.55
Uttarakhand,Rudraprayag,1.8,1.79,NA,37.8,38.1,NA,26.77,26.98,NA,3.39,3.4,NA,37.8,37.3,NA,36.22,35.71,NA
Uttarakhand,Tehri Garhwal,5.83,5.29,9.93,40.21,37.09,52.94,30.29,26.67,45.1,2.84,2.96,2.34,52.21,50.35,59.8,48.35,47.22,52.94
Uttarakhand,Udham Singh Nagar,3.69,3.61,3.88,57.95,55.65,63.46,51.14,50.81,51.92,3.09,3.24,2.73,51.14,50.81,51.92,48.86,49.19,48.08
Uttarakhand,Uttarkashi,7.6,6.52,16.27,41.62,38.75,50.91,23.3,20.95,30.91,2.71,2.81,2.36,42.39,40.32,49.09,35.65,34.31,40
