State_Name,State_District_Name,XX_Women_Who_Are_Aware_Of_Hiv_Aids_Total,XX_Women_Who_Are_Aware_Of_Hiv_Aids_Rural,XX_Women_Who_Are_Aware_Of_Hiv_Aids_Urban,XX_Women_Who_Are_Aware_Of_Rti_Sti_Total,XX_Women_Who_Are_Aware_Of_Rti_Sti_Rural,XX_Women_Who_Are_Aware_Of_Rti_Sti_Urban,XX_Women_Who_Are_Aware_Of_Haf_Ors_Ort_Zinc_Total,XX_Women_Who_Are_Aware_Of_Haf_Ors_Ort_Zinc_Rural,XX_Women_Who_Are_Aware_Of_Haf_Ors_Ort_Zinc_Urban,XX_Women_Who_Are_Aware_Of_Danger_Signs_Of_Ari_Pneumonia_Total,XX_Women_Who_Are_Aware_Of_Danger_Signs_Of_Ari_Pneumonia_Rural,XX_Women_Who_Are_Aware_Of_Danger_Signs_Of_Ari_Pneumonia_Urban
Assam,Barpeta,64.8,63.5,83.2,30.3,30.3,31.2,98.9,98.8,99.4,87.7,88.7,74.2
Assam,Bongaigaon,63.7,59.8,91.1,49.5,46,74.5,99.6,99.5,100,89.9,89.2,95.2
Assam,Cachar,73.1,71.2,87.1,78.5,77.2,87.8,97.6,98.4,91.6,87.4,88.1,81.8
Assam,Darrang,77.9,77.8,NA,84.7,84.6,NA,98.9,98.9,NA,94.6,94.6,NA
Assam,Dhemaji,83.5,82.2,92.7,60.5,59.8,65.3,97.2,97,98.5,90.4,90.6,89.1
Assam,Dhubri,51,46.2,97.9,24.9,23.9,35,98.6,98.5,99.8,89.9,89.1,98.5
Assam,Dibrugarh,91.3,89.6,97.6,77.3,75.6,83.3,99.2,99,99.5,96,96.3,94.8
Assam,Goalpara,73.3,72.7,80,53.3,52.5,64.2,97.5,97.4,99,92,91.9,92.7
Assam,Golaghat,83.9,82.4,95.4,93.5,92.9,98.8,92.2,91.3,99.4,92.4,92.1,94.6
Assam,Hailakandi,94.8,94.9,NA,82.9,81.9,NA,98.7,98.8,NA,98.1,98.2,NA
Assam,Jorhat,82.4,79.7,92.3,94.7,94,97.4,97.6,97.6,97.7,91.4,91.3,91.7
Assam,Kamrup,86.8,80.5,95.6,58.6,42.7,81.2,99.2,99,99.6,65.1,60.8,71.3
Assam,Karbi Anglong,77.8,73.9,92.4,64.5,62.2,72.9,91.9,92,91.6,90.5,92.8,82.2
Assam,Karimganj,68.2,66.5,NA,60.4,58.3,NA,98.1,98,NA,68.8,67.2,NA
Assam,Kokrajhar,74.3,72.2,NA,52.7,50.9,NA,99.6,99.6,NA,95.5,95.9,NA
Assam,Lakhimpur,78.5,76.7,NA,58.3,55.3,NA,98.4,98.3,NA,82.2,80.9,NA
Assam,Marigaon,80.4,79.9,91,47,46.7,54.4,98.4,98.3,99.4,83.5,83.2,92
Assam,Nagaon,70.1,67.6,85.9,95,96.3,86.4,99.2,99.2,99.1,81.9,81.2,86.6
Assam,Nalbari,84,83.1,NA,66.3,65.5,NA,99.2,99.1,NA,49.6,47.9,NA
Assam,North Cachar Hills,82.2,68.3,91.7,60.9,51.9,67.2,83.8,79.6,86.7,73.7,72.4,74.5
Assam,Sibsagar,94.9,94.7,97.8,67.4,66.1,85.5,98.3,98.2,99.4,91.4,91.1,95.4
Assam,Sonitpur,69.6,67.9,85.8,39.4,36.9,63.8,97.4,97.2,99.5,75.6,74.4,87.3
Assam,Tinsukia,82.8,79.9,96.4,95.9,95.9,96.2,96.7,96.3,98.6,93.5,92.5,98.3
Bihar,Araria,88.5,88.4,NA,65.2,66.3,NA,98,97.9,NA,96.5,96.4,NA
Bihar,Aurangabad,82.2,82.2,82.2,67.6,67.6,67,98.6,98.6,99.4,99.2,99.1,100
Bihar,Banka,50.6,49.5,NA,93.7,93.6,NA,100,100,NA,100,100,NA
Bihar,Begusarai,63.2,62,NA,93.4,93.2,NA,100,100,NA,99,99,NA
Bihar,Bhagalpur,54.4,52.3,72.2,74.2,74.8,68.9,99.2,99.3,98.9,99.3,99.3,99.5
Bihar,Bhojpur,76.6,75.9,84.4,88.7,89.4,80.9,99.5,99.5,99.2,98.9,98.9,99.1
Bihar,Buxar,56.3,54.6,90,92.2,92.3,90,100,100,99.7,99.4,99.3,100
Bihar,Darbhanga,81,80.5,94.5,77.7,76.9,99.8,97.8,97.7,100,95.2,95,99.4
Bihar,Gaya,61.7,59.7,71.3,86.5,86.4,87.2,99.9,99.9,99.9,99.6,99.5,100
Bihar,Gopalganj,89.9,90.1,85.9,81.9,81.4,91.8,100,100,99.7,95.9,95.8,97.4
Bihar,Jamui,72.1,71.1,NA,66.9,66.5,NA,97.9,97.9,NA,98,97.9,NA
Bihar,Jehanabad,78.8,79,75.8,84.5,84.3,86.5,99.9,99.9,100,99.1,99.1,100
Bihar,Kaimur (Bhabua),58.7,57.8,NA,91.5,91.8,NA,99.6,99.7,NA,99.1,99.2,NA
Bihar,Katihar,85.5,84.9,98.2,48.1,48.1,48.6,99.4,99.4,99.7,97.6,97.5,99.4
Bihar,Khagaria,91.3,91,99.1,88.9,88.5,99.4,100,100,100,99.9,99.9,99.1
Bihar,Kishanganj,65.5,63.6,88.6,76.5,75.3,90.6,98.1,98,99.9,99.5,99.5,98.8
Bihar,Lakhisarai,66,65.9,67.5,82.8,82.4,88.1,100,100,100,99.2,99.2,99.9
Bihar,Madhepura,52.8,51.5,NA,47.7,47.1,NA,97.5,97.4,NA,73.4,72.7,NA
Bihar,Madhubani,82.9,82.7,NA,65.8,65.8,NA,94.1,94.1,NA,92.6,92.6,NA
Bihar,Munger,64.7,61.3,80.4,87.6,88.7,82,99.3,99.2,100,99.4,99.3,99.7
Bihar,Muzaffarpur,83.8,83,100,71.3,70.8,82.7,99.5,99.5,100,95.6,95.5,97.7
Bihar,Nalanda,77.2,76.3,86.7,87.2,87.4,84.8,99.9,100,99.4,99.9,100,98.5
Bihar,Nawada,64,64.4,56.2,77.4,78,66.8,98.8,98.8,99.2,99.6,99.6,100
Bihar,Pashchim Champaran,87.5,86.8,99.8,65.7,65.6,66.5,99.4,99.3,100,99,99,100
Bihar,Patna,82.4,77.6,91.4,77.4,77.9,76.4,100,100,100,99.8,100,99.4
Bihar,Purba Champaran,86.1,85.4,NA,87.4,86.8,NA,100,100,NA,99.2,99.2,NA
Bihar,Purnia,65.4,64.1,NA,46.7,44.8,NA,96.4,96.2,NA,83,82.6,NA
Bihar,Rohtas,59.8,58.9,68.4,71.1,70.8,74.2,99.8,99.7,100,99.4,99.3,99.9
Bihar,Saharsa,60.6,58.8,77.8,54.3,51.8,79.3,97.6,97.4,99.5,91.9,91.1,99.5
Bihar,Samastipur,88.2,88,NA,80.9,80.8,NA,100,100,NA,99.6,99.6,NA
Bihar,Saran,89.1,88.3,98.7,94.9,94.6,98.5,100,100,99.6,99.9,99.9,100
Bihar,Sheikhpura,67.5,67.3,69.2,91.8,91.9,90.7,100,100,100,99.7,99.7,100
Bihar,Sheohar,82.5,83.5,NA,72,71.5,NA,96.7,96.6,NA,99.8,99.8,NA
Bihar,Sitamarhi,91.6,91.4,NA,80.6,80.3,NA,99.3,99.3,NA,99.8,99.8,NA
Bihar,Siwan,86.9,85.8,99.2,90.8,91,87.8,100,100,99.8,94.2,93.7,99.6
Bihar,Supaul,53.4,52.7,NA,46.8,46.7,NA,96.1,95.9,NA,74.2,73.7,NA
Bihar,Vaishali,93.7,93.5,100,92.7,92.5,98.8,100,100,100,99.5,99.5,100
Chhattisgarh,Bastar,74.71,72.51,94.42,64.36,61.45,90.46,99.28,99.27,99.4,76.26,74.28,93.99
Chhattisgarh,Bilaspur,91.07,89.12,94.79,80.45,77.92,85.29,99.89,99.95,99.77,96.37,95.56,97.93
Chhattisgarh,Dantewada,56.28,50.12,93.65,54.09,49.06,84.63,99.29,99.23,99.63,70.84,68.89,82.64
Chhattisgarh,Dhamtari,91.41,90.79,96.35,97.62,97.35,99.77,98.93,99.28,96.07,97.5,97.23,99.72
Chhattisgarh,Durg,96.91,95.52,99.14,90.21,87.84,94.03,99.94,100,99.84,96.37,95.31,98.09
Chhattisgarh,Janjgir-Champa,94.66,94.13,99.72,88.88,88.14,95.98,98.45,98.3,99.93,97.29,97.06,99.52
Chhattisgarh,Jashpur,68.15,67.02,NA,67.23,65.8,NA,99.46,99.47,NA,85.57,85.06,NA
Chhattisgarh,Kanker,93.85,93.69,NA,85.74,85.46,NA,98.95,98.89,NA,95.12,94.88,NA
Chhattisgarh,Kawardha,80.24,78.43,NA,89.87,88.13,NA,99,99.16,NA,95.79,95.05,NA
Chhattisgarh,Korba,91.11,89.49,93.3,77.36,73.79,82.16,98.67,98.65,98.7,88.54,81.37,98.18
Chhattisgarh,Koriya,80.5,75.49,93.05,84.46,81.16,92.74,99.09,98.93,99.5,96.66,95.43,99.73
Chhattisgarh,Mahasamund,92.16,91.62,96.62,83.12,81.82,93.8,99.56,99.51,100,94.16,93.51,99.53
Chhattisgarh,Raigarh,81.85,78.87,98.24,72.71,69.78,88.83,99.67,99.68,99.62,95.47,94.78,99.29
Chhattisgarh,Raipur,99.88,99.91,99.82,93.53,92.31,96.42,99.81,99.76,99.92,95.85,94.22,99.69
Chhattisgarh,Rajnandgaon,89.47,87.08,99.55,83.57,80.65,95.82,98.78,98.57,99.65,96.06,95.43,98.71
Chhattisgarh,Surguja,71.66,69.3,98.85,76.77,74.78,99.62,99.51,99.49,99.71,91.6,90.94,99.23
Jharkhand,Bokaro,91.7,88.5,96.7,86.2,80.2,95.6,99.1,99.1,99.2,98,97.4,99.1
Jharkhand,Chatra,61.9,59.9,87.4,75.3,75.2,76.3,96,96.4,91,92,91.5,98.1
Jharkhand,Deoghar,50.6,46.4,71.2,63.9,59.1,87,95.9,95.3,98.9,75.9,72.6,92
Jharkhand,Dhanbad,60.1,50.2,71.6,71.8,73.4,69.9,96.5,95.2,98.1,80.7,76.1,86.1
Jharkhand,Dumka,34.1,31.4,65.7,73,72.8,74.9,77.8,76.9,88.3,67.6,67.2,71.7
Jharkhand,Garhwa,58.5,56.1,NA,69.1,67.4,NA,96.5,96.3,NA,90.2,89.7,NA
Jharkhand,Giridih,63.8,63.3,74.3,88.1,88.4,80.8,97.2,97.9,82.2,97.4,97.6,93.6
Jharkhand,Godda,57.8,55.5,NA,77.6,76.6,NA,98.8,98.8,NA,91.6,91.1,NA
Jharkhand,Gumla,55.1,53.4,83.5,60.7,59.6,77.8,90.3,89.8,98.4,93.5,93.6,92
Jharkhand,Hazaribagh,80.2,78.1,93.2,76.3,75,84.8,98.4,98.1,100,79.5,78,88.8
Jharkhand,Kodarma,73.5,72.1,84.4,75.3,74.9,78.5,99.9,99.9,100,97.2,97.4,96
Jharkhand,Lohardaga,54.8,51,86.9,52.5,49.5,77.7,97.8,97.6,99.1,94.3,93.8,98.3
Jharkhand,Pakaur,54.5,51.3,NA,62.4,59.9,NA,96.8,96.6,NA,76.2,74.4,NA
Jharkhand,Palamu,61.3,61,68.1,70.9,71.2,65,97.6,98.3,84.4,94.4,94.5,91.6
Jharkhand,Pashchimi Singhbhum,58.6,51.3,94.6,59.7,56.1,77.4,94.6,93.8,98.8,78.8,76.2,91.5
Jharkhand,Purbi Singhbhum,78.2,60.5,91.8,63.2,57.6,67.6,97.4,95.5,98.8,84.5,75.6,91.4
Jharkhand,Ranchi,76.5,69,91.9,68.9,57.4,92.2,95.7,93.9,99.4,91.8,88.1,99.1
Jharkhand,Sahibganj,59.1,58.1,70.8,64.5,64.3,67.3,96.7,97.2,91,89.1,88.5,95.9
Madhya Pradesh,Balaghat,73.4,70.6,90.7,81.4,78.7,98.1,99,99,99.2,99.9,99.9,99.9
Madhya Pradesh,Barwani,65.3,62.3,81,86.4,84.7,95.1,91.4,90.6,95.5,87,86.4,90.4
Madhya Pradesh,Betul,74.6,69.7,92.5,67,61.8,85.9,97.4,96.7,100,94.3,92.7,100
Madhya Pradesh,Bhind,70.6,63,85.6,94.2,93.3,95.8,99.6,99.5,99.7,97.2,96.3,99
Madhya Pradesh,Bhopal,92.3,76.5,95.1,91.6,81.6,93.3,97.9,97.5,98,94.7,87.8,95.9
Madhya Pradesh,Chhatarpur,63.6,56.1,88.2,83.9,81.2,92.8,88.9,86.6,96.2,98.8,100,94.9
Madhya Pradesh,Chhindwara,70.9,65.2,84.8,62.7,63.6,60.4,98,97.2,100,96.6,95.2,100
Madhya Pradesh,Damoh,53.4,44.5,82.6,55.5,55.8,54.5,96.9,96.2,98.9,98.5,98.1,99.8
Madhya Pradesh,Datia,81.9,76.9,91.2,95.5,95.7,95.1,98,97.5,99,97.3,97.4,97
Madhya Pradesh,Dewas,75.8,70.3,86.5,83.4,81.6,86.8,98.2,97.4,99.6,93.1,91.8,95.5
Madhya Pradesh,Dhar,67.6,62.5,87.3,80.5,77.7,91.4,96.3,95.8,98.4,83.7,81.8,91.4
Madhya Pradesh,Dindori,40.3,37.3,NA,89.8,89,NA,99.6,99.6,NA,96.4,96.1,NA
Madhya Pradesh,East Nimar,75.8,71.1,90.6,64.5,60.4,77.6,98,97.5,99.7,92.6,91.7,95.4
Madhya Pradesh,Guna,65.8,53.4,90.8,85.2,81,93.6,98.7,98.1,99.8,95.8,94.1,99.1
Madhya Pradesh,Gwalior,90.8,84.4,94,93.9,89.2,96.2,99.6,99.6,99.6,96.6,93.6,98
Madhya Pradesh,Harda,73.4,67.7,92.8,57,52.1,73.9,97.5,97,99.2,92.1,89.7,99.9
Madhya Pradesh,Hoshangabad,73.8,57.5,100,68.3,56.5,87.4,98.5,97.5,100,91.9,86.9,99.9
Madhya Pradesh,Indore,93.3,84.2,96.4,88.8,78.8,92.1,99,98.4,99.2,96.7,98.3,96.1
Madhya Pradesh,Jabalpur,86.6,69.8,95.3,78.7,60.3,88.2,99.4,98.2,100,96.5,93.9,97.8
Madhya Pradesh,Jhabua,66.2,63.4,86.5,77.9,77.1,83.7,95.7,95.4,97.5,95.1,95,95.8
Madhya Pradesh,Katni,66.8,56.3,93.2,92.7,90,99.4,100,100,100,99.7,99.6,100
Madhya Pradesh,Mandla,47.9,38.5,99.9,85.9,83.4,99.9,97.8,97.4,100,95.5,94.7,99.9
Madhya Pradesh,Mandsaur,67.6,63.8,80.7,67.8,61.6,88.6,98,97.8,98.4,94.8,94.2,97.2
Madhya Pradesh,Morena,72.2,67.7,85.2,84.5,83.2,88.3,98.1,98.2,97.9,94.3,93.7,96.1
Madhya Pradesh,Narsimhapur,86.7,85.5,93,98.2,98.4,97.5,100,100,100,97.8,97.7,98.2
Madhya Pradesh,Neemuch,78.5,72.1,90.5,64.9,53.5,86.4,97.1,96.4,98.4,92.4,89.3,98.2
Madhya Pradesh,Panna,41.9,37.9,58.3,42.1,38.3,57.6,98.5,98.4,99,87.3,85.4,95
Madhya Pradesh,Raisen,58.2,49.9,78.5,52.7,45.2,71,94.4,92.9,98.1,87.9,85.5,93.8
Madhya Pradesh,Rajgarh,62.1,58.8,76.2,83.1,81.5,90.1,97.5,97,99.8,94.3,93.5,97.9
Madhya Pradesh,Ratlam,79.9,70.5,90.1,93.1,91,95.4,98.1,97.1,99.3,98,97.1,99
Madhya Pradesh,Rewa,69.9,65.2,91.5,64.3,64.8,62.4,99.9,99.9,100,95.5,95.2,97.1
Madhya Pradesh,Sagar,71.6,61.9,89.5,73.2,69.8,79.5,99.9,99.9,99.8,97.6,97.4,97.9
Madhya Pradesh,Satna,52.4,44,74.8,91.1,90.7,92.2,97.2,97.5,96.3,100,100,99.9
Madhya Pradesh,Sehore,76.2,74.3,83.5,89.2,88.6,91.5,96.2,96.7,94.5,93.2,92.6,95.2
Madhya Pradesh,Seoni,60.9,57,88.5,84.6,83.5,92,98.6,98.4,100,99.4,99.3,99.9
Madhya Pradesh,Shahdol,63.8,57.2,81.5,61,64.2,52.2,95.1,94.8,96,83.8,80.6,92.6
Madhya Pradesh,Shajapur,80.1,75.6,96,79,74.4,95.4,98.3,98,99.3,95.8,95.4,97.3
Madhya Pradesh,Sheopur,48,41.5,77.8,88,86.1,96.5,97.2,96.9,98.6,97.3,96.9,99
Madhya Pradesh,Shivpuri,83,80.1,96.6,93.4,92.3,98.9,95,94.5,97.7,96.1,95.9,96.9
Madhya Pradesh,Sidhi,64.4,60.2,89.2,85.8,85.2,89.1,98,97.7,100,96.7,96.3,99.4
Madhya Pradesh,Tikamgarh,46.2,42.1,65.1,52.3,52.2,53.2,94.7,93.6,99.8,97.5,97.9,95.5
Madhya Pradesh,Ujjain,79.1,70.5,92.3,94.3,93.2,95.9,98,97,99.7,95.3,94.1,97.2
Madhya Pradesh,Umaria,45.3,39.4,67.5,55.8,57.7,49,94.5,93.2,99.3,89.7,87.3,98.6
Madhya Pradesh,Vidisha,67.3,49.9,99.9,52.2,40.3,74.6,90.6,89.6,92.3,81.2,75,92.9
Madhya Pradesh,West Nimar,74.8,71.8,91.6,92.8,91.8,98.7,99.3,99.2,99.7,94.6,93.7,99.1
Odisha,Anugul,94.38,93.55,98.52,70.04,67.07,84.83,99.75,99.78,99.62,35.8,36.36,33.04
Odisha,Balangir,88.6,87.61,97.6,65.47,62.31,94.25,99.88,99.89,99.76,45.96,45.16,53.29
Odisha,Baleshwar,97.86,97.69,99.21,86.34,85.27,95.09,99.96,99.96,100,24.02,22.98,32.49
Odisha,Bargarh,81.81,80.48,96.74,38.62,37.51,51.06,99.97,99.96,100,17.91,16.34,35.48
Odisha,Baudh,77.7,76.23,NA,76.59,75.93,NA,99.24,99.2,NA,88.86,88.5,NA
Odisha,Bhadrak,99.19,99.17,99.32,86.42,86.69,83.67,99.98,99.98,100,50.44,50.79,46.87
Odisha,Cuttack,96.92,96.67,97.82,80.9,76.41,96.96,99.49,99.64,98.97,90.55,90.35,91.26
Odisha,Debagarh,91.62,90.4,99.61,49.98,47.59,65.7,99.98,99.98,100,44.38,42.98,53.61
